0;0;0;0;land;false;unknown;0
1;247;77;196;land;false;marsh;1
2;227;146;217;land;false;forest;1
3;212;252;169;land;false;mountain;1
4;84;243;181;land;false;forest;1
5;75;213;217;land;false;forest;1
6;244;133;161;land;false;marsh;1
7;168;247;112;land;false;forest;1
8;60;203;249;land;false;marsh;1
9;97;240;166;land;true;forest;1
10;235;84;199;land;false;forest;1
11;150;155;238;land;false;forest;1
12;168;248;209;land;false;urban;1
13;96;247;195;land;false;forest;1
14;191;184;178;land;false;forest;1
15;142;229;243;land;false;forest;1
16;155;228;206;land;false;forest;1
17;246;104;232;land;false;forest;1
18;203;72;250;land;false;forest;1
19;170;233;213;land;false;forest;1
20;166;209;160;land;false;forest;1
21;163;185;190;land;true;plains;1
22;198;83;221;land;false;forest;1
23;251;228;146;land;false;forest;1
24;129;244;143;land;false;forest;1
25;220;238;206;land;false;marsh;1
26;250;185;69;land;false;forest;1
27;222;129;151;land;false;forest;1
28;252;170;143;land;false;urban;1
29;203;153;176;land;false;forest;1
30;244;178;120;land;true;forest;1
31;216;88;225;land;false;forest;1
32;184;202;198;land;false;forest;1
33;190;98;252;land;true;forest;1
34;200;245;241;land;false;forest;1
35;253;135;113;land;false;forest;1
36;218;216;102;land;false;forest;1
37;95;229;227;land;false;marsh;1
38;134;251;168;land;false;forest;1
39;163;239;186;land;true;forest;1
40;199;121;212;land;false;marsh;1
41;84;254;247;land;false;marsh;1
42;144;175;218;land;false;forest;1
43;211;233;212;land;false;forest;1
44;242;215;222;land;false;forest;1
45;223;145;224;land;true;forest;1
46;172;148;198;land;false;forest;1
47;227;142;192;land;false;marsh;1
48;242;223;169;land;false;forest;1
49;232;184;137;land;false;urban;1
50;126;172;209;land;true;forest;1
51;156;229;231;land;false;forest;1
52;252;204;231;land;false;marsh;1
53;212;217;73;land;false;forest;1
54;201;148;178;land;false;forest;1
55;208;248;92;land;false;forest;1
56;214;207;165;land;false;forest;1
57;173;221;151;land;false;forest;1
58;121;192;237;land;false;forest;1
59;236;228;178;land;true;forest;1
60;236;242;242;land;false;forest;1
61;210;92;199;land;false;forest;1
62;229;170;105;land;false;forest;1
63;231;202;75;land;false;forest;1
64;197;243;127;land;false;forest;1
65;238;193;140;land;true;forest;1
