1;3196.00;10.75;1065.00;big
1;3226.00;10.55;1039.00;big
2;3237.00;10.70;996.00;big
2;3272.00;10.60;975.00;big
3;3199.00;10.50;1133.00;big
3;3254.00;10.35;1086.00;big
4;3136.00;9.55;1010.00;big
4;3180.00;11.20;1026.00;big
5;3060.00;10.45;1124.00;big
5;3121.00;10.20;1084.00;big
6;3205.00;13.00;931.00;big
6;3176.00;15.65;964.00;big
7;3202.00;11.35;1269.00;big
7;3080.00;12.20;1239.00;big
8;3057.00;10.70;826.00;big
8;3076.00;10.50;778.00;big
9;2988.00;10.40;777.00;big
9;2970.00;11.20;831.00;big
10;3127.00;10.10;929.00;big
10;3099.00;11.75;861.00;big
11;2972.00;10.12;909.00;big
11;3035.00;10.20;907.00;big
12;3196.00;10.18;840.00;big
12;3173.00;10.60;821.00;big
13;3086.00;10.20;988.00;big
13;3041.00;10.90;1013.00;big
14;2919.00;11.15;1021.00;big
14;2979.00;12.05;1064.00;big
15;3042.00;10.85;690.00;big
15;3045.00;10.95;730.00;big
16;3567.00;10.48;699.00;big
16;3589.00;10.40;622.00;big
17;3412.00;10.35;551.00;big
17;3465.00;10.20;598.00;big
18;3301.00;10.95;566.00;big
18;3336.00;11.12;529.00;big
19;3137.00;10.20;548.00;big
19;3180.00;10.20;540.00;big
20;3533.00;10.60;463.00;big
20;3587.00;10.60;428.00;big
21;3365.00;10.30;272.00;big
21;3385.00;10.40;309.00;big
22;3342.00;10.15;399.00;big
22;3559.00;9.50;533.00;big
23;2895.00;10.35;896.00;big
23;2879.00;10.55;810.00;big
24;2897.00;11.40;714.00;big
24;2959.00;11.75;729.00;big
25;2810.00;11.50;752.00;big
25;2818.00;10.88;670.00;big
26;2789.00;10.55;920.00;big
26;2772.00;10.80;835.00;big
27;2625.00;11.15;619.00;big
27;2732.00;10.80;643.00;big
28;2695.00;11.60;887.00;big
28;2645.00;10.65;773.00;big
29;2606.00;10.80;887.00;big
29;2615.00;11.90;974.00;big
30;3517.00;9.50;1229.00;big
30;3572.00;10.25;1155.00;big
31;2662.00;10.20;1087.00;big
31;2666.00;10.20;1143.00;big
32;2677.00;11.12;1229.00;big
32;2720.00;10.43;1186.00;big
33;2770.00;11.00;1244.00;big
33;2837.00;12.00;1216.00;big
34;2749.00;10.90;1106.00;big
34;2696.00;9.50;1041.00;big
35;2724.00;10.60;1328.00;big
35;2795.00;11.00;1306.00;big
36;2606.00;11.15;1325.00;big
36;2596.00;11.80;1242.00;big
37;2804.00;12.25;1005.00;big
37;2769.00;11.20;1010.00;big
38;2572.00;9.50;1130.00;big
38;2597.00;9.50;1462.00;big
39;2920.00;9.50;1325.00;big
39;2983.00;10.35;1144.00;big
40;2544.00;10.50;758.00;big
40;2230.00;10.82;771.00;big
41;2372.00;10.85;1286.00;big
41;2407.00;10.90;1031.00;big
42;2023.00;11.70;1220.00;big
42;2179.00;11.48;1079.00;big
43;2192.00;9.50;1464.00;big
43;2351.00;12.00;1744.00;big
44;2765.00;12.03;1778.00;big
44;2620.00;10.85;1567.00;big
45;2997.00;10.80;1542.00;big
45;3193.00;13.00;1751.00;big
46;3258.00;10.45;1029.00;big
46;3372.00;10.18;1008.00;big
47;3524.00;10.43;1776.00;big
47;3567.00;10.50;1707.00;big
48;2423.00;9.50;1966.00;big
48;2948.00;9.50;1941.00;big
49;3132.00;10.30;1150.00;big
49;3205.00;9.50;1081.00;big
50;3204.00;9.50;1458.00;big
50;3356.00;9.50;1433.00;big
51;3389.00;9.50;1674.00;big
51;3456.00;9.50;1944.00;big
52;3338.00;9.50;1225.00;big
52;3310.00;11.10;1093.00;big
53;3377.00;9.50;813.00;big
53;3125.00;9.50;705.00;big
54;2979.00;9.50;502.00;big
54;2709.00;9.50;416.00;big
55;2377.00;9.50;428.00;big
55;2045.00;9.50;544.00;big
56;1837.00;9.50;1146.00;big
56;1861.00;9.50;884.00;big
57;1848.00;9.50;1548.00;big
57;2009.00;9.50;1816.00;big
58;888.00;9.50;949.00;big
58;4512.00;9.50;969.00;big
59;2734.00;9.50;1147.00;big
59;2669.00;9.50;1353.00;big
60;2829.00;11.40;1130.00;big
60;2824.00;10.30;1080.00;big
