349;0;1571.00;11.05;497.00;0.00;0.32
349;1;1570.50;11.00;494.00;-0.16;0.32
349;2;1573.50;10.90;495.50;1.03;0.32
349;3;1568.50;10.90;496.00;-1.19;0.32
349;4;1575.00;11.10;498.00;1.81;0.32
349;5;1568.50;11.10;499.50;3.92;0.32
349;6;1572.50;11.20;500.00;2.67;0.32
349;9;1567.76;10.82;497.00;1.57;0.32
349;10;1574.24;11.02;497.00;-1.57;0.32
349;21;1568.00;10.85;497.00;0.00;0.32
349;22;1570.50;11.00;494.00;-0.16;0.32
349;23;1573.50;10.90;495.50;1.03;0.32
349;24;1568.50;10.90;496.00;-1.19;0.32
349;25;1575.00;11.10;498.00;1.81;0.32
349;26;1568.50;11.10;499.50;3.92;0.32
349;27;1572.50;11.20;500.00;2.67;0.32
349;38;1574.24;11.02;497.00;-1.57;0.32
